"PKPostId","SymbolFK","score"
"gvxjdsn","ubs","-0.878521889900303"
"gvxkeic","twtr","0.894230769230769"
"gvxkfcf","amc","-2"
"gvxkgdg","xm","0.945054945054945"
"gvxkgdg","xm","0.921348314606742"
"gvxkgdg","xm","0.607843137254902"
"gvxkqw0","amc","-3"
"gvxkuwb","ubs","-0.874973307708734"
"gvxl5do","xm","0.893129770992366"
"gvxl5do","xm","0.875968992248062"
"gvxl5do","xm","0.430894308943089"
"gvxl5do","xm","0.383458646616541"
"gvxm1rg","amzn","1.30790006752194"
"gvxm569","amzn","1.28865979381443"
"gvxmqbl","twtr","1.35344827586207"
"gvxmu78","mvis","-0.0422535211267606"
"gvxmu78","mvis","0.0461538461538462"
"gvxmu78","mvis","0.0545454545454545"
"gvxmuv0","amzn","1.31394533987386"
"gvxn5xn","amzn","1.30790006752194"
"gvxn8m8","xm","1.10714285714286"
"gvxn8m8","xm","1.07407407407407"
"gvxn9fn","ubs","-0.878521889900303"
"gvxnja9","twtr","0.993150684931507"
"gvxnxfn","ubs","-0.88230117698823"
"gvxo47m","amzn","1.31394533987386"
"gvxoah7","amzn","1.30790006752194"
"gvxogcp","ubs","-0.878521889900303"
"gvxom9p","tsla","-2.13636363636364"
"gvxomcw","twtr","1.40944881889764"
"gvxon02","twtr","1.35344827586207"
"gvxoskz","twtr","0.482758620689655"
"gvxoxq6","amc","-0.222222222222222"
"gvxp0uf","twtr","1.45054945054945"
"gvxp8dq","xm","0.948717948717949"
"gvxp8dq","xm","0.921052631578947"
"gvxp8dq","xm","-0.159090909090909"
"gvxpl6z","twtr","1.45054945054945"
"gvxpr2w","mvis","0"
"gvxpr2w","mvis","0.666666666666667"
"gvxpr2w","mvis","1.07142857142857"
"gvxpr5a","twtr","0.894230769230769"
"gvxptkj","amzn","1.30790006752194"
"gvxq9xt","amzn","1.30013020833333"
"gvxqakv","twtr","1.06299212598425"
"gvxqgnc","xm","0.805825242718447"
"gvxqgnc","xm","0.782178217821782"
"gvxqgnc","xm","-0.211009174311927"
"gvxr58q","ubs","-0.878521889900303"
"gvxrfp9","ubs","-0.88230117698823"
"gvxrv5o","amzn","1.29585427135678"
